Type;Variables;29-Mar-2018:plants;04-Apr-2018:plants;19-Apr-2018:plants1.0;19-Apr-2018:plants2.0;19-Apr-2018:plants2.0.1;20-Apr-2018:plants2.0;25-Apr-2018:plants2.0;25-Apr-2018:plants2.0.1;02-May-2018:plants2.0;02-May-2018:plants2.0.1;02-May-2018:plants_test;02-May-2018:plants_test.1;02-May-2018:plants_test.1.1;02-May-2018:plants_test.1.1.1;03-May-2018:plants;03-May-2018:plants.1;03-May-2018:plants.1.1;03-May-2018:plants4.0;03-May-2018:plants5.0;03-May-2018:cats_dogs;04-May-2018:plants_demo;"11-May-2018:datasets/123._""egg""_eggs";"11-May-2018:datasets/123._""egg""_eggs.1";"11-May-2018:datasets/123._""egg""_eggs.1.1";"11-May-2018:datasets/123._""egg""_eggs.1.1.1";"11-May-2018:datasets/140._""fish""_fish";"11-May-2018:datasets/140._""fish""_fish::141._""fish""_fresh_water_fish";"11-May-2018:datasets/140._""fish""_fish::142._""fish""_sea_fish";"11-May-2018:datasets/140._""fish""_fish::142._""fish""_sea_fish::323._""salmon""_sea_fish";"11-May-2018:datasets/178._""juice""_fruit_and_vegetable_juices";"11-May-2018:datasets/192._""leafy_salad""_fresh_vegetables";"11-May-2018:datasets/237._""mushroom""_mushrooms";"11-May-2018:datasets/258._""pasta""_pasta";"11-May-2018:datasets/258._""pasta""_pasta::664._tortellini";"11-May-2018:datasets/123._""egg""_eggs"
Comments;General_impression;Waouh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Comments;Suggested_changes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Config_data;batch_size;128;128;128;128;50;128;128;50;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128
Config_data;data_transforms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Config_data;dataset_dir;datasets/plants;datasets/plants;datasets/plants1.0/;datasets/plants1.0/;datasets/plants1.0/;datasets/plants1.0/;datasets/plants1.0/;datasets/plants1.0/;datasets/plants1.0/;datasets/plants1.0/;datasets/plants1.0;datasets/plants1.0;datasets/plants1.0;datasets/plants1.0;datasets/plants1.0;datasets/plants1.0;datasets/plants1.0;datasets/plants1.0/;datasets/plants1.0;datasets/cats_dogs;datasets/plants_demo;"datasets/123._""egg""_eggs";"datasets/123._""egg""_eggs";"datasets/123._""egg""_eggs";"datasets/123._""egg""_eggs";"datasets/140._""fish""_fish";"datasets/140._""fish""_fish::141._""fish""_fresh_water_fish";"datasets/140._""fish""_fish::142._""fish""_sea_fish";"datasets/140._""fish""_fish::142._""fish""_sea_fish::323._""salmon""_sea_fish";"datasets/178._""juice""_fruit_and_vegetable_juices";"datasets/192._""leafy_salad""_fresh_vegetables";"datasets/237._""mushroom""_mushrooms";"datasets/258._""pasta""_pasta";"datasets/258._""pasta""_pasta::664._tortellini";"datasets/123._""egg""_eggs"
Config_data;debug;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
Config_data;epochs;50;50;50;50;25;50;50;50;50;50;10;10;10;10;5;5;10;50;50;50;20;50;50;50;5;5;5;5;5;5;5;5;5;5;5
Config_data;experiment_dir_name;experiments/plants;experiments/plants;experiments/plants1.0;experiments/plants2.0;experiments/plants2.0;experiments/plants2.0;experiments/plants2.0;experiments/plants2.0;experiments/plants2.0;experiments/plants2.0;experiments/plants_test;experiments/plants_test;experiments/plants_test;experiments/plants_test;experiments/plants;experiments/plants;experiments/plants;experiments/plants4.0;experiments/plants5.0;experiments/cats_dogs;experiments/plants_demo;"experiments/datasets/123._""egg""_eggs";"experiments/datasets/123._""egg""_eggs";"experiments/datasets/123._""egg""_eggs";"experiments/datasets/123._""egg""_eggs";"experiments/datasets/140._""fish""_fish";"experiments/datasets/140._""fish""_fish::141._""fish""_fresh_water_fish";"experiments/datasets/140._""fish""_fish::142._""fish""_sea_fish";"experiments/datasets/140._""fish""_fish::142._""fish""_sea_fish::323._""salmon""_sea_fish";"experiments/datasets/178._""juice""_fruit_and_vegetable_juices";"experiments/datasets/192._""leafy_salad""_fresh_vegetables";"experiments/datasets/237._""mushroom""_mushrooms";"experiments/datasets/258._""pasta""_pasta";"experiments/datasets/258._""pasta""_pasta::664._tortellini";"experiments/datasets/123._""egg""_eggs"
Config_data;experiment_name;plants;plants;plants1.0;plants2.0;plants2.0;plants2.0;plants2.0;plants2.0;plants2.0;plants2.0;plants_test;plants_test;plants_test;plants_test;plants;plants;plants;plants4.0;plants5.0;cats_dogs;plants_demo;"datasets/123._""egg""_eggs";"datasets/123._""egg""_eggs";"datasets/123._""egg""_eggs";"datasets/123._""egg""_eggs";"datasets/140._""fish""_fish";"datasets/140._""fish""_fish::141._""fish""_fresh_water_fish";"datasets/140._""fish""_fish::142._""fish""_sea_fish";"datasets/140._""fish""_fish::142._""fish""_sea_fish::323._""salmon""_sea_fish";"datasets/178._""juice""_fruit_and_vegetable_juices";"datasets/192._""leafy_salad""_fresh_vegetables";"datasets/237._""mushroom""_mushrooms";"datasets/258._""pasta""_pasta";"datasets/258._""pasta""_pasta::664._tortellini";"datasets/123._""egg""_eggs"
Config_data;experiments_dir;experiments;experiments;experiments;experiments;experiments;experiments;experiments;experiments;experiments;experiments;experiments;experiments;experiments;experiments;experiments;experiments;experiments;experiments;experiments;experiments;experiments;experiments;experiments;experiments;experiments;experiments;experiments;experiments;experiments;experiments;experiments;experiments;experiments;experiments;experiments
Config_data;learning_rate;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
Config_data;model;resnet-50;resnet-50;resnet-50;resnet-50;resnet-50;resnet50;resnet50;resnet50;resnet50;resnet50;resnet50;resnet50;resnet50;resnet50;resnet50;resnet50;resnet50;resnet50;resnet50;resnet50;resnet50;resnet50;resnet50;resnet50;resnet50;resnet50;resnet50;resnet50;resnet50;resnet50;resnet50;resnet50;resnet50;resnet50;resnet50
Config_data;no_data_augmentation;;;;;;;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
Config_data;no_plots;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
Config_data;no_render_images;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True
Config_data;normalize_confusion_matrix;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True
Config_data;num_cpu_workers;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
Config_data;optimizer;adam;adam;adam;adam;adam;adam;adam;adam;adam;adam;adam;adam;adam;adam;adam;adam;adam;adam;adam;adam;adam;adam;adam;adam;adam;adam;adam;adam;adam;adam;adam;adam;adam;adam;adam
